ut	field	country	funder_id	funder	Type	country_funder
000325234500053	Energy	DK	667	EU	Public	Supranational
000423156900224	Energy	DK	2395	Aalborg University, Denmark	University	DK
000423156900224	Energy	DK	392	Danish Maritime Fund	NA	DK
000329174500002	Food science	DK	1524	NIH	Public	Other
000329174500002	Food science	DK	1634	Office of Research and Development, Medical Research Service, Department of Veterans Affairs	NA	Other
000329174500002	Food science	DK	2022	TGen Foundation	NA	NA
000400866600015	Energy	DK	968	Innovation Fund Denmark	Public	DK
000302051100028	Energy	DK	667	EU	Public	Supranational
000353744100014	Energy	DK	968	Innovation Fund Denmark	Public	DK
000429541900002	Food science	DK	360	Danish Council for Strategic Research	Public	DK
000366141100008	Energy	DK	1299	Masdar Institute, Abu Dhabi, UAE	NA	Other
000341334200024	Energy	DK	1603	Norwegian Research Council	Public	NO
000348039300040	Food science	DK	1508	Netherlands Organisation for Scientific Research	Public	NL
000348039300040	Food science	DK	537	Dutch Product Board Animal Feed	Non-profit	NL
000393455900011	Energy	DK	1538	Nordic Energy Research	Public	Supranational
000291142800007	Food science	DK	349	Danish Cattle Federation	Non-profit	DK
000291142800007	Food science	DK	398	Danish Ministry of Food, Agriculture and Fisheries	Public	DK
000291142800007	Food science	DK	2398	Aarhus University	University	DK
000324526500047	Energy	DK	359	Danish Council for Independent Research	Public	DK
000446665800015	Food science	DK	968	Innovation Fund Denmark	Public	DK
000402047300001	Energy	DK	1616	Novo Nordisk Foundation	Non-profit	DK
000402047300001	Energy	DK	1616	Novo Nordisk Foundation	Private	DK
000308535500015	Food science	DK	1535	NordForsk	Private	NO
000402463100045	Food science	DK	684	Faroese Research Council	NA	NA
000402463100045	Food science	DK	1530	Nofima AS	Private	NO
000402463100045	Food science	DK	1929	Statoil	Private	NO
000326747200006	Energy	DK	398	Danish Ministry of Food, Agriculture and Fisheries	Public	DK
000326747200006	Energy	DK	411	Danish National Research Foundation	Public	DK
000356240800001	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000356240800001	Energy	DK	380	Danish GTS-universitetssamarbejde	NA	DK
000356240800001	Energy	DK	667	EU	Public	Supranational
000356240800001	Energy	DK	1927	Statkraft	Private	NO
000292711500002	Food science	DK	667	EU	Public	Supranational
000389088300050	Energy	DK	2322	Vietnam National University	University	Other
000346019800002	Energy	DK	667	EU	Public	Supranational
000346019800002	Energy	DK	1823	Russian Foundation for Basic Research (RFBR)	Public	Other
000346019800002	Energy	DK	1953	Swedish Institute	NA	Other
000346019800002	Energy	DK	1957	Swedish research council	Public	Other
000348837300019	Food science	DK	364	Danish Dairy Research Foundation	Non-profit	DK
000348837300019	Food science	DK	667	EU	Public	Supranational
000425934700007	Food science	DK	1603	Norwegian Research Council	Public	NO
000425934700007	Food science	DK	2282	University of Tromso	University	NO
000425934700007	Food science	DK	1524	NIH	Public	Other
000425934700007	Food science	DK	1482	National Science Foundation (NSF), USA	Public	Other
000319733000003	Food science	DK	1957	Swedish research council	Public	Other
000319733000003	Food science	DK	667	EU	Public	Supranational
000280664900016	Food science	DK	403	Danish Ministry of Science, Technology and Innovation	Public	DK
000280664900016	Food science	DK	359	Danish Council for Independent Research	Public	DK
000280664900016	Food science	DK	291	Copenhagen University	University	DK
000398952000017	Energy	DK	1464	National natural science foundation of China	Public	Other
000289976700022	Energy	DK	625	Energinet.dk	Private	DK
000354115800010	Food science	DK	331	Danida, Denmark	Public	DK
000360439300011	Energy	DK	1603	Norwegian Research Council	Public	NO
000273934000010	Energy	DK	405	Danish Ministry of Transport	Public	DK
000273934000010	Energy	DK	421	Danish Research Agency	Public	DK
000273934000010	Energy	DK	597	EFP	NA	NA
000273934000010	Energy	DK	2395	Aalborg University, Denmark	University	DK
000383827700044	Energy	DK	2280	University of the Punjab	University	Other
000435048800050	Energy	DK	359	Danish Council for Independent Research	Public	DK
000435048800050	Energy	DK	1464	National natural science foundation of China	Public	Other
000435048800050	Energy	DK	244	China Scholarship Council (CSC)	Public	Other
000366567100001	Food science	DK	360	Danish Council for Strategic Research	Public	DK
000366567100001	Food science	DK	401	Danish Ministry of Health	Public	DK
000366567100001	Food science	DK	432	Danish Veterinary and Food Administration	Public	DK
000287639400027	Energy	DK	1799	Robert Bosch GmbH	Private	NA
000302622600027	Food science	DK	1990	Technical University of Denmark	University	DK
000302622600027	Food science	DK	398	Danish Ministry of Food, Agriculture and Fisheries	Public	DK
000359873300059	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000359873300059	Energy	DK	667	EU	Public	Supranational
000404792200013	Food science	DK	968	Innovation Fund Denmark	Public	DK
000439136000004	Energy	DK	667	EU	Public	Supranational
000439136000004	Energy	DK	1616	Novo Nordisk Foundation	Non-profit	DK
000439136000004	Energy	DK	1616	Novo Nordisk Foundation	Private	DK
000428687400033	Energy	DK	1464	National natural science foundation of China	Public	Other
000297164100035	Food science	DK	359	Danish Council for Independent Research	Public	DK
000297164100035	Food science	DK	360	Danish Council for Strategic Research	Public	DK
000328920800065	Energy	DK	667	EU	Public	Supranational
000328920800065	Energy	DK	1464	National natural science foundation of China	Public	Other
000442184500001	Food science	DK	2398	Aarhus University	University	DK
000442184500001	Food science	DK	398	Danish Ministry of Food, Agriculture and Fisheries	Public	DK
000442184500001	Food science	DK	416	Danish Pig Research Centre, SEGES	Non-profit	DK
000394332800007	Food science	DK	1463	National Key R&D Program of China	Public	Other
000394332800007	Food science	DK	1464	National natural science foundation of China	Public	Other
000282543600036	Food science	DK	331	Danida, Denmark	Public	DK
000395639800003	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000395639800003	Energy	DK	1464	National natural science foundation of China	Public	Other
000309923800014	Food science	DK	360	Danish Council for Strategic Research	Public	DK
000309923800014	Food science	DK	667	EU	Public	Supranational
000429742100004	Food science	DK	667	EU	Public	Supranational
000306747300020	Energy	DK	1603	Norwegian Research Council	Public	NO
000364367300001	Energy	DK	359	Danish Council for Independent Research	Public	DK
000364367300001	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000364367300001	Energy	DK	1949	Swedish Foundation for Strategic Research	Public	Other
000364367300001	Energy	DK	1957	Swedish research council	Public	Other
000450377000046	Energy	DK	968	Innovation Fund Denmark	Public	DK
000328100400028	Food science	DK	364	Danish Dairy Research Foundation	Non-profit	DK
000328100400028	Food science	DK	790	Future Food Innovation	NA	NA
000328100400028	Food science	DK	667	EU	Public	Supranational
000341802100006	Food science	DK	332	Danisco A/S	Private	NA
000341802100006	Food science	DK	1115	Karolinska Institutet	NA	Other
000341802100006	Food science	DK	1957	Swedish research council	Public	Other
000411685000021	Food science	DK	414	Danish Pig Levy Fund	Non-profit	DK
000411685000021	Food science	DK	667	EU	Public	Supranational
000411685000021	Food science	DK	1684	Pig Research Center	Private	DK
000411685000021	Food science	DK	416	Danish Pig Research Centre, SEGES	Non-profit	DK
000411685000021	Food science	DK	1858	Scottish Government	Public	Other
000298711400002	Energy	DK	421	Danish Research Agency	Public	DK
000298711400002	Energy	DK	667	EU	Public	Supranational
000358445100007	Food science	DK	2398	Aarhus University	University	DK
000358445100007	Food science	DK	50	Ajinomoto Eurolysine S.A.S.	Private	Other
000358445100007	Food science	DK	359	Danish Council for Independent Research	Public	DK
000325395600084	Food science	DK	112	Australian Government	Public	Other
000325395600084	Food science	DK	118	Australian Research Council	Public	Other
000325395600084	Food science	DK	182	Biotechnology and Biological Sciences Research Council (BBSRC)	Public	Other
000325395600084	Food science	DK	219	Carlsberg Foundation	Non-profit	DK
000325395600084	Food science	DK	827	German Research Foundation	Public	Other
000325395600084	Food science	DK	667	EU	Public	Supranational
000325395600084	Food science	DK	1858	Scottish Government	Public	Other
000439320800017	Energy	DK	2251	University of Navarra, Spain	University	Other
000439320800017	Energy	DK	968	Innovation Fund Denmark	Public	DK
000430776200008	Food science	DK	331	Danida, Denmark	Public	DK
000343016600010	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000361834800001	Food science	DK	398	Danish Ministry of Food, Agriculture and Fisheries	Public	DK
000361834800001	Food science	DK	1185	Kopenhagen Fur	NA	NA
000277210400003	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000277210400003	Energy	DK	359	Danish Council for Independent Research	Public	DK
000346551500018	Energy	DK	421	Danish Research Agency	Public	DK
000346551500018	Energy	DK	1485	National Social Science Fund of China	NA	Other
000425577400014	Food science	DK	968	Innovation Fund Denmark	Public	DK
000357664200111	Energy	DK	243	China Postdoctoral Science Foundation	Public	Other
000357664200111	Energy	DK	1464	National natural science foundation of China	Public	Other
000270890200002	Food science	DK	398	Danish Ministry of Food, Agriculture and Fisheries	Public	DK
000270890200002	Food science	DK	411	Danish National Research Foundation	Public	DK
000418414200017	Energy	DK	625	Energinet.dk	Private	DK
000342817800003	Energy	DK	359	Danish Council for Independent Research	Public	DK
000342817800003	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000312470400007	Food science	DK	27	Agence Nationale de la Recherche	Public	Other
000330951200038	Energy	DK	359	Danish Council for Independent Research	Public	DK
000330951200038	Energy	DK	1067	Jiangsu Provincial People's Government	Public	Other
000330951200038	Energy	DK	1464	National natural science foundation of China	Public	Other
000330951200038	Energy	DK	246	Chinese government	Public	Other
000323239800051	Energy	DK	1286	Major State Basic Research Development Program of China (973 Program)	Public	Other
000323239800051	Energy	DK	1464	National natural science foundation of China	Public	Other
000323239800051	Energy	DK	246	Chinese government	Public	Other
000322989900128	Energy	DK	914	Hong Kong Polytechnic University	University	Other
000322989900128	Energy	DK	915	Hong Kong Research Grant Council	NA	Other
000322989900128	Energy	DK	1464	National natural science foundation of China	Public	Other
000325434700023	Energy	DK	2316	Vestas Technology RD	Private	DK
000344330700010	Energy	DK	411	Danish National Research Foundation	Public	DK
000344330700010	Energy	DK	2152	U.S. Department of Energy	Public	Other
000344330700010	Energy	DK	667	EU	Public	Supranational
000268618400016	Food science	DK	346	Danish Bacon and Meat Council	NA	DK
000446317800020	Energy	DK	270	COLCIENCIAS	Public	Other
000288498600006	Food science	DK	54	Akvaforsk Genetics Center AS (AFGC, Sunndalsora, Norway)	NA	NA
000288498600006	Food science	DK	1603	Norwegian Research Council	Public	NO
000385177200061	Energy	DK	219	Carlsberg Foundation	Non-profit	DK
000385177200061	Energy	DK	359	Danish Council for Independent Research	Public	DK
000385177200061	Energy	DK	229	Center for Materials Crystallography (CMC)	Public	DK
000385177200061	Energy	DK	411	Danish National Research Foundation	Public	DK
000385177200061	Energy	DK	968	Innovation Fund Denmark	Public	DK
000412028500003	Food science	DK	291	Copenhagen University	University	DK
000412028500003	Food science	DK	359	Danish Council for Independent Research	Public	DK
000412028500003	Food science	DK	1330	MetaPhageLAB project	NA	DK
000412028500003	Food science	DK	1603	Norwegian Research Council	Public	NO
000424310100051	Energy	DK	243	China Postdoctoral Science Foundation	Public	Other
000424310100051	Energy	DK	1613	Not enough information	NA	Other
000424310100051	Energy	DK	1464	National natural science foundation of China	Public	Other
000424310100051	Energy	DK	667	EU	Public	Supranational
000297775600009	Food science	DK	398	Danish Ministry of Food, Agriculture and Fisheries	Public	DK
000297775600009	Food science	DK	988	International Centre for Research in Organic Food Systems	Public	DK
000398758800022	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000398758800022	Energy	DK	361	Danish Council for Technology and Innovation	Public	DK
000398758800022	Energy	DK	2398	Aarhus University	University	DK
000449132400007	Food science	DK	39	Agricultural Transformation by Innovation (AGTRAIN)	NA	NA
000449132400007	Food science	DK	239	CGIAR	Non-profit	DK
000449132400007	Food science	DK	239	CGIAR	Non-profit	NO
000449132400007	Food science	DK	239	CGIAR	Non-profit	Other
000449132400007	Food science	DK	265	Climate and Clean Air Coalition (CCAC)	NA	NA
000449132400007	Food science	DK	667	EU	Public	Supranational
000430770700021	Food science	DK	98	Arla Foods Amba	Private	DK
000430770700021	Food science	DK	214	CAPES	Public	Other
000430770700021	Food science	DK	364	Danish Dairy Research Foundation	Non-profit	DK
000292417700019	Food science	DK	341	Danish Agriculture and Food Council	NA	DK
000292417700019	Food science	DK	2112	Torben and Alice Frimodt Fund	NA	NA
000390641700003	Energy	DK	1839	Saudi Aramco	NA	Other
000413385400005	Food science	DK	667	EU	Public	Supranational
000343964700012	Food science	DK	1778	Research Council of Lithuania	NA	Other
000451300800022	Food science	DK	667	EU	Public	Supranational
000325413000012	Energy	DK	118	Australian Research Council	Public	Other
000325413000012	Energy	DK	411	Danish National Research Foundation	Public	DK
000325413000012	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000444358400096	Energy	DK	251	Chinese Academy of Sciences	Public	Other
000444358400096	Energy	DK	1463	National Key R&D Program of China	Public	Other
000444358400096	Energy	DK	1464	National natural science foundation of China	Public	Other
000308621100014	Food science	DK	136	Barilla S.p.A.	NA	NA
000305040200067	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000307600700003	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000307600700003	Energy	DK	667	EU	Public	Supranational
000349293200001	Food science	DK	667	EU	Public	Supranational
000324154600017	Energy	DK	667	EU	Public	Supranational
000326237200001	Food science	DK	667	EU	Public	Supranational
000325082900011	Food science	DK	406	Danish National Advanced Technology Foundation	Public	DK
000325082900011	Food science	DK	291	Copenhagen University	University	DK
000365463000016	Energy	DK	229	Center for Materials Crystallography (CMC)	Public	DK
000365463000016	Energy	DK	411	Danish National Research Foundation	Public	DK
000365463000016	Energy	DK	403	Danish Ministry of Science, Technology and Innovation	Public	DK
