"yr","cluster_id","full_name","n_pubs","n_cits","country","field","cum_cit","cum_pub","total_cit","total_pub","cum_pct_cit","cum_pct_pub"
2013,26804208,"pendry, jb",10,4484,"United Kingdom","Physics",40855,315,64231,343,0.636,0.918
2014,26804208,"pendry, jb",4,4089,"United Kingdom","Physics",44944,319,64231,343,0.7,0.93
2015,26804208,"pendry, jb",5,4152,"United Kingdom","Physics",49096,324,64231,343,0.764,0.945
2016,26804208,"pendry, jb",9,4345,"United Kingdom","Physics",53441,333,64231,343,0.832,0.971
2017,26804208,"pendry, jb",5,3842,"United Kingdom","Physics",57283,338,64231,343,0.892,0.985
2018,26804208,"pendry, jb",4,3706,"United Kingdom","Physics",60989,342,64231,343,0.95,0.997
2019,26804208,"pendry, jb",1,3242,"United Kingdom","Physics",64231,343,64231,343,1,1
1980,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1981,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1982,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1983,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1984,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1985,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1986,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1987,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1988,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1989,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1990,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1991,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1992,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1993,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1994,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1995,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1996,27245798,"krebs, fc",0,0,"Denmark","Physics",0,0,34018,406,0,0
1997,27245798,"krebs, fc",3,2,"Denmark","Physics",2,3,34018,406,0,0.007
1998,27245798,"krebs, fc",3,4,"Denmark","Physics",6,6,34018,406,0,0.015
1999,27245798,"krebs, fc",6,12,"Denmark","Physics",18,12,34018,406,0.001,0.03
2000,27245798,"krebs, fc",11,16,"Denmark","Physics",34,23,34018,406,0.001,0.057
2001,27245798,"krebs, fc",7,22,"Denmark","Physics",56,30,34018,406,0.002,0.074
2002,27245798,"krebs, fc",4,40,"Denmark","Physics",96,34,34018,406,0.003,0.084
2003,27245798,"krebs, fc",13,66,"Denmark","Physics",162,47,34018,406,0.005,0.116
2004,27245798,"krebs, fc",18,102,"Denmark","Physics",264,65,34018,406,0.008,0.16
2005,27245798,"krebs, fc",10,130,"Denmark","Physics",394,75,34018,406,0.012,0.185
2006,27245798,"krebs, fc",19,284,"Denmark","Physics",678,94,34018,406,0.02,0.232
2007,27245798,"krebs, fc",16,345,"Denmark","Physics",1023,110,34018,406,0.03,0.271
2008,27245798,"krebs, fc",18,624,"Denmark","Physics",1647,128,34018,406,0.048,0.315
2009,27245798,"krebs, fc",19,1176,"Denmark","Physics",2823,147,34018,406,0.083,0.362
2010,27245798,"krebs, fc",22,1992,"Denmark","Physics",4815,169,34018,406,0.142,0.416
2011,27245798,"krebs, fc",33,2719,"Denmark","Physics",7534,202,34018,406,0.221,0.498
2012,27245798,"krebs, fc",46,3053,"Denmark","Physics",10587,248,34018,406,0.311,0.611
2013,27245798,"krebs, fc",43,3474,"Denmark","Physics",14061,291,34018,406,0.413,0.717
2014,27245798,"krebs, fc",36,4031,"Denmark","Physics",18092,327,34018,406,0.532,0.805
2015,27245798,"krebs, fc",34,3905,"Denmark","Physics",21997,361,34018,406,0.647,0.889
2016,27245798,"krebs, fc",29,3856,"Denmark","Physics",25853,390,34018,406,0.76,0.961
2017,27245798,"krebs, fc",11,3067,"Denmark","Physics",28920,401,34018,406,0.85,0.988
2018,27245798,"krebs, fc",5,2723,"Denmark","Physics",31643,406,34018,406,0.93,1
2019,27245798,"krebs, fc",0,2375,"Denmark","Physics",34018,406,34018,406,1,1
1980,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1980,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1981,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1981,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1982,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1982,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1983,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1983,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1984,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1984,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1985,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1985,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1986,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1986,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1987,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1987,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1988,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1988,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1989,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1989,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1990,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1990,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1991,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1991,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1992,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1992,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1993,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1993,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1994,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1994,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1995,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1995,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1996,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1996,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1997,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1997,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1998,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1998,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
1999,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
1999,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
2000,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
2000,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
2001,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
2001,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
2002,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
2002,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
2003,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
2003,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
2004,27480865,"sovacool, bk",0,0,"Denmark","Economics",0,0,13660,548,0,0
2004,27480865,"sovacool, bk",0,0,"United Kingdom","Economics",0,0,13660,548,0,0
2005,27480865,"sovacool, bk",1,0,"Denmark","Economics",0,1,13660,548,0,0.002
2005,27480865,"sovacool, bk",1,0,"United Kingdom","Economics",0,2,13660,548,0,0.004
2006,27480865,"sovacool, bk",1,0,"Denmark","Economics",0,3,13660,548,0,0.005
2006,27480865,"sovacool, bk",1,0,"United Kingdom","Economics",0,4,13660,548,0,0.007
2007,27480865,"sovacool, bk",4,2,"Denmark","Economics",2,8,13660,548,0,0.015
2007,27480865,"sovacool, bk",4,2,"United Kingdom","Economics",4,12,13660,548,0,0.022
2008,27480865,"sovacool, bk",10,7,"Denmark","Economics",11,22,13660,548,0.001,0.04
2008,27480865,"sovacool, bk",10,7,"United Kingdom","Economics",18,32,13660,548,0.001,0.058
2009,27480865,"sovacool, bk",12,30,"Denmark","Economics",48,44,13660,548,0.004,0.08
2009,27480865,"sovacool, bk",12,30,"United Kingdom","Economics",78,56,13660,548,0.006,0.102
2010,27480865,"sovacool, bk",22,70,"Denmark","Economics",148,78,13660,548,0.011,0.142
2010,27480865,"sovacool, bk",22,70,"United Kingdom","Economics",218,100,13660,548,0.016,0.182
2011,27480865,"sovacool, bk",36,185,"Denmark","Economics",403,136,13660,548,0.03,0.248
2011,27480865,"sovacool, bk",36,185,"United Kingdom","Economics",588,172,13660,548,0.043,0.314
2012,27480865,"sovacool, bk",28,312,"Denmark","Economics",900,200,13660,548,0.066,0.365
2012,27480865,"sovacool, bk",28,312,"United Kingdom","Economics",1212,228,13660,548,0.089,0.416
2013,27480865,"sovacool, bk",25,367,"Denmark","Economics",1579,253,13660,548,0.116,0.462
2013,27480865,"sovacool, bk",25,367,"United Kingdom","Economics",1946,278,13660,548,0.142,0.507
2014,27480865,"sovacool, bk",18,427,"Denmark","Economics",2373,296,13660,548,0.174,0.54
2014,27480865,"sovacool, bk",18,427,"United Kingdom","Economics",2800,314,13660,548,0.205,0.573
2015,27480865,"sovacool, bk",24,596,"Denmark","Economics",3396,338,13660,548,0.249,0.617
2015,27480865,"sovacool, bk",24,596,"United Kingdom","Economics",3992,362,13660,548,0.292,0.661
2016,27480865,"sovacool, bk",23,778,"Denmark","Economics",4770,385,13660,548,0.349,0.703
2016,27480865,"sovacool, bk",23,778,"United Kingdom","Economics",5548,408,13660,548,0.406,0.745
2017,27480865,"sovacool, bk",30,960,"Denmark","Economics",6508,438,13660,548,0.476,0.799
2017,27480865,"sovacool, bk",30,960,"United Kingdom","Economics",7468,468,13660,548,0.547,0.854
2018,27480865,"sovacool, bk",32,1442,"Denmark","Economics",8910,500,13660,548,0.652,0.912
2018,27480865,"sovacool, bk",32,1442,"United Kingdom","Economics",10352,532,13660,548,0.758,0.971
2019,27480865,"sovacool, bk",8,1654,"Denmark","Economics",12006,540,13660,548,0.879,0.985
2019,27480865,"sovacool, bk",8,1654,"United Kingdom","Economics",13660,548,13660,548,1,1
1980,30610796,"foyer, ch",1,0,"United Kingdom","Biology",0,1,33851,348,0,0.003
1981,30610796,"foyer, ch",2,3,"United Kingdom","Biology",3,3,33851,348,0,0.009
1982,30610796,"foyer, ch",3,12,"United Kingdom","Biology",15,6,33851,348,0,0.017
1983,30610796,"foyer, ch",6,34,"United Kingdom","Biology",49,12,33851,348,0.001,0.034
1984,30610796,"foyer, ch",5,52,"United Kingdom","Biology",101,17,33851,348,0.003,0.049
1985,30610796,"foyer, ch",3,47,"United Kingdom","Biology",148,20,33851,348,0.004,0.057
1986,30610796,"foyer, ch",6,63,"United Kingdom","Biology",211,26,33851,348,0.006,0.075
1987,30610796,"foyer, ch",5,96,"United Kingdom","Biology",307,31,33851,348,0.009,0.089
1988,30610796,"foyer, ch",3,79,"United Kingdom","Biology",386,34,33851,348,0.011,0.098
1989,30610796,"foyer, ch",3,101,"United Kingdom","Biology",487,37,33851,348,0.014,0.106
1990,30610796,"foyer, ch",5,119,"United Kingdom","Biology",606,42,33851,348,0.018,0.121
1991,30610796,"foyer, ch",3,74,"United Kingdom","Biology",680,45,33851,348,0.02,0.129
1992,30610796,"foyer, ch",4,126,"United Kingdom","Biology",806,49,33851,348,0.024,0.141
1993,30610796,"foyer, ch",4,117,"United Kingdom","Biology",923,53,33851,348,0.027,0.152
1994,30610796,"foyer, ch",7,178,"United Kingdom","Biology",1101,60,33851,348,0.033,0.172
1995,30610796,"foyer, ch",6,178,"United Kingdom","Biology",1279,66,33851,348,0.038,0.19
1996,30610796,"foyer, ch",7,240,"United Kingdom","Biology",1519,73,33851,348,0.045,0.21
1997,30610796,"foyer, ch",14,307,"United Kingdom","Biology",1826,87,33851,348,0.054,0.25
1998,30610796,"foyer, ch",18,394,"United Kingdom","Biology",2220,105,33851,348,0.066,0.302
1999,30610796,"foyer, ch",11,445,"United Kingdom","Biology",2665,116,33851,348,0.079,0.333
2000,30610796,"foyer, ch",21,655,"United Kingdom","Biology",3320,137,33851,348,0.098,0.394
2001,30610796,"foyer, ch",11,623,"United Kingdom","Biology",3943,148,33851,348,0.116,0.425
2002,30610796,"foyer, ch",10,712,"United Kingdom","Biology",4655,158,33851,348,0.138,0.454
2003,30610796,"foyer, ch",23,836,"United Kingdom","Biology",5491,181,33851,348,0.162,0.52
2004,30610796,"foyer, ch",11,942,"United Kingdom","Biology",6433,192,33851,348,0.19,0.552
2005,30610796,"foyer, ch",11,1167,"United Kingdom","Biology",7600,203,33851,348,0.225,0.583
2006,30610796,"foyer, ch",16,1201,"United Kingdom","Biology",8801,219,33851,348,0.26,0.629
2007,30610796,"foyer, ch",13,1238,"United Kingdom","Biology",10039,232,33851,348,0.297,0.667
2008,30610796,"foyer, ch",8,1331,"United Kingdom","Biology",11370,240,33851,348,0.336,0.69
2009,30610796,"foyer, ch",7,1592,"United Kingdom","Biology",12962,247,33851,348,0.383,0.71
2010,30610796,"foyer, ch",5,1504,"United Kingdom","Biology",14466,252,33851,348,0.427,0.724
2011,30610796,"foyer, ch",8,1716,"United Kingdom","Biology",16182,260,33851,348,0.478,0.747
2012,30610796,"foyer, ch",9,1941,"United Kingdom","Biology",18123,269,33851,348,0.535,0.773
2013,30610796,"foyer, ch",7,2177,"United Kingdom","Biology",20300,276,33851,348,0.6,0.793
2014,30610796,"foyer, ch",8,1880,"United Kingdom","Biology",22180,284,33851,348,0.655,0.816
2015,30610796,"foyer, ch",20,2139,"United Kingdom","Biology",24319,304,33851,348,0.718,0.874
2016,30610796,"foyer, ch",10,2275,"United Kingdom","Biology",26594,314,33851,348,0.786,0.902
2017,30610796,"foyer, ch",11,2104,"United Kingdom","Biology",28698,325,33851,348,0.848,0.934
2018,30610796,"foyer, ch",17,2395,"United Kingdom","Biology",31093,342,33851,348,0.919,0.983
2019,30610796,"foyer, ch",6,2758,"United Kingdom","Biology",33851,348,33851,348,1,1
1980,31705080,"juselius, k",0,0,"Denmark","Economics",0,0,4767,33,0,0
1981,31705080,"juselius, k",0,0,"Denmark","Economics",0,0,4767,33,0,0
1982,31705080,"juselius, k",0,0,"Denmark","Economics",0,0,4767,33,0,0
1983,31705080,"juselius, k",0,0,"Denmark","Economics",0,0,4767,33,0,0
1984,31705080,"juselius, k",0,0,"Denmark","Economics",0,0,4767,33,0,0
1985,31705080,"juselius, k",0,0,"Denmark","Economics",0,0,4767,33,0,0
1986,31705080,"juselius, k",0,0,"Denmark","Economics",0,0,4767,33,0,0
1987,31705080,"juselius, k",0,0,"Denmark","Economics",0,0,4767,33,0,0
1988,31705080,"juselius, k",0,0,"Denmark","Economics",0,0,4767,33,0,0
1989,31705080,"juselius, k",0,0,"Denmark","Economics",0,0,4767,33,0,0
1990,31705080,"juselius, k",1,0,"Denmark","Economics",0,1,4767,33,0,0.03
1991,31705080,"juselius, k",1,23,"Denmark","Economics",23,2,4767,33,0.005,0.061
1992,31705080,"juselius, k",4,52,"Denmark","Economics",75,6,4767,33,0.016,0.182
1993,31705080,"juselius, k",0,81,"Denmark","Economics",156,6,4767,33,0.033,0.182
1994,31705080,"juselius, k",1,96,"Denmark","Economics",252,7,4767,33,0.053,0.212
1995,31705080,"juselius, k",2,150,"Denmark","Economics",402,9,4767,33,0.084,0.273
1996,31705080,"juselius, k",1,140,"Denmark","Economics",542,10,4767,33,0.114,0.303
1997,31705080,"juselius, k",0,193,"Denmark","Economics",735,10,4767,33,0.154,0.303
1998,31705080,"juselius, k",1,163,"Denmark","Economics",898,11,4767,33,0.188,0.333
1999,31705080,"juselius, k",0,135,"Denmark","Economics",1033,11,4767,33,0.217,0.333
2000,31705080,"juselius, k",1,151,"Denmark","Economics",1184,12,4767,33,0.248,0.364
2001,31705080,"juselius, k",2,150,"Denmark","Economics",1334,14,4767,33,0.28,0.424
2002,31705080,"juselius, k",0,131,"Denmark","Economics",1465,14,4767,33,0.307,0.424
2003,31705080,"juselius, k",0,127,"Denmark","Economics",1592,14,4767,33,0.334,0.424
2004,31705080,"juselius, k",1,153,"Denmark","Economics",1745,15,4767,33,0.366,0.455
2005,31705080,"juselius, k",1,134,"Denmark","Economics",1879,16,4767,33,0.394,0.485
2006,31705080,"juselius, k",0,130,"Denmark","Economics",2009,16,4767,33,0.421,0.485
2007,31705080,"juselius, k",0,128,"Denmark","Economics",2137,16,4767,33,0.448,0.485
2008,31705080,"juselius, k",1,132,"Denmark","Economics",2269,17,4767,33,0.476,0.515
2009,31705080,"juselius, k",3,199,"Denmark","Economics",2468,20,4767,33,0.518,0.606
2010,31705080,"juselius, k",1,199,"Denmark","Economics",2667,21,4767,33,0.559,0.636
2011,31705080,"juselius, k",1,209,"Denmark","Economics",2876,22,4767,33,0.603,0.667
2012,31705080,"juselius, k",0,232,"Denmark","Economics",3108,22,4767,33,0.652,0.667
2013,31705080,"juselius, k",1,239,"Denmark","Economics",3347,23,4767,33,0.702,0.697
2014,31705080,"juselius, k",3,203,"Denmark","Economics",3550,26,4767,33,0.745,0.788
2015,31705080,"juselius, k",2,232,"Denmark","Economics",3782,28,4767,33,0.793,0.848
2016,31705080,"juselius, k",1,254,"Denmark","Economics",4036,29,4767,33,0.847,0.879
2017,31705080,"juselius, k",2,256,"Denmark","Economics",4292,31,4767,33,0.9,0.939
2018,31705080,"juselius, k",1,229,"Denmark","Economics",4521,32,4767,33,0.948,0.97
2019,31705080,"juselius, k",1,246,"Denmark","Economics",4767,33,4767,33,1,1
1980,32600568,"clarke, kr",0,0,"United Kingdom","Biology",0,0,21374,102,0,0
1981,32600568,"clarke, kr",1,0,"United Kingdom","Biology",0,1,21374,102,0,0.01
1982,32600568,"clarke, kr",2,6,"United Kingdom","Biology",6,3,21374,102,0,0.029
1983,32600568,"clarke, kr",1,5,"United Kingdom","Biology",11,4,21374,102,0.001,0.039
1984,32600568,"clarke, kr",0,6,"United Kingdom","Biology",17,4,21374,102,0.001,0.039
1985,32600568,"clarke, kr",0,12,"United Kingdom","Biology",29,4,21374,102,0.001,0.039
1986,32600568,"clarke, kr",0,20,"United Kingdom","Biology",49,4,21374,102,0.002,0.039
1987,32600568,"clarke, kr",0,13,"United Kingdom","Biology",62,4,21374,102,0.003,0.039
1988,32600568,"clarke, kr",5,50,"United Kingdom","Biology",112,9,21374,102,0.005,0.088
1989,32600568,"clarke, kr",1,32,"United Kingdom","Biology",144,10,21374,102,0.007,0.098
1990,32600568,"clarke, kr",6,81,"United Kingdom","Biology",225,16,21374,102,0.011,0.157
1991,32600568,"clarke, kr",1,75,"United Kingdom","Biology",300,17,21374,102,0.014,0.167
1992,32600568,"clarke, kr",1,93,"United Kingdom","Biology",393,18,21374,102,0.018,0.176
1993,32600568,"clarke, kr",5,143,"United Kingdom","Biology",536,23,21374,102,0.025,0.225
1994,32600568,"clarke, kr",2,124,"United Kingdom","Biology",660,25,21374,102,0.031,0.245
1995,32600568,"clarke, kr",2,167,"United Kingdom","Biology",827,27,21374,102,0.039,0.265
1996,32600568,"clarke, kr",2,257,"United Kingdom","Biology",1084,29,21374,102,0.051,0.284
1997,32600568,"clarke, kr",2,280,"United Kingdom","Biology",1364,31,21374,102,0.064,0.304
1998,32600568,"clarke, kr",5,364,"United Kingdom","Biology",1728,36,21374,102,0.081,0.353
1999,32600568,"clarke, kr",3,380,"United Kingdom","Biology",2108,39,21374,102,0.099,0.382
2000,32600568,"clarke, kr",0,386,"United Kingdom","Biology",2494,39,21374,102,0.117,0.382
2001,32600568,"clarke, kr",4,473,"United Kingdom","Biology",2967,43,21374,102,0.139,0.422
2002,32600568,"clarke, kr",3,491,"United Kingdom","Biology",3458,46,21374,102,0.162,0.451
2003,32600568,"clarke, kr",1,455,"United Kingdom","Biology",3913,47,21374,102,0.183,0.461
2004,32600568,"clarke, kr",1,502,"United Kingdom","Biology",4415,48,21374,102,0.207,0.471
2005,32600568,"clarke, kr",3,748,"United Kingdom","Biology",5163,51,21374,102,0.242,0.5
2006,32600568,"clarke, kr",9,854,"United Kingdom","Biology",6017,60,21374,102,0.282,0.588
2007,32600568,"clarke, kr",2,741,"United Kingdom","Biology",6758,62,21374,102,0.316,0.608
2008,32600568,"clarke, kr",4,907,"United Kingdom","Biology",7665,66,21374,102,0.359,0.647
2009,32600568,"clarke, kr",4,992,"United Kingdom","Biology",8657,70,21374,102,0.405,0.686
2010,32600568,"clarke, kr",4,996,"United Kingdom","Biology",9653,74,21374,102,0.452,0.725
2011,32600568,"clarke, kr",3,1078,"United Kingdom","Biology",10731,77,21374,102,0.502,0.755
2012,32600568,"clarke, kr",4,1185,"United Kingdom","Biology",11916,81,21374,102,0.557,0.794
2013,32600568,"clarke, kr",3,1196,"United Kingdom","Biology",13112,84,21374,102,0.613,0.824
2014,32600568,"clarke, kr",7,1259,"United Kingdom","Biology",14371,91,21374,102,0.672,0.892
2015,32600568,"clarke, kr",2,1369,"United Kingdom","Biology",15740,93,21374,102,0.736,0.912
2016,32600568,"clarke, kr",4,1454,"United Kingdom","Biology",17194,97,21374,102,0.804,0.951
2017,32600568,"clarke, kr",3,1409,"United Kingdom","Biology",18603,100,21374,102,0.87,0.98
2018,32600568,"clarke, kr",2,1456,"United Kingdom","Biology",20059,102,21374,102,0.938,1
2019,32600568,"clarke, kr",0,1315,"United Kingdom","Biology",21374,102,21374,102,1,1
1980,32667861,"jennings, s",0,0,"Denmark","Biology",0,0,34838,478,0,0
1980,32667861,"jennings, s",0,0,"United Kingdom","Biology",0,0,34838,478,0,0
1981,32667861,"jennings, s",0,0,"Denmark","Biology",0,0,34838,478,0,0
1981,32667861,"jennings, s",0,0,"United Kingdom","Biology",0,0,34838,478,0,0
1982,32667861,"jennings, s",0,0,"Denmark","Biology",0,0,34838,478,0,0
1982,32667861,"jennings, s",0,0,"United Kingdom","Biology",0,0,34838,478,0,0
1983,32667861,"jennings, s",0,0,"Denmark","Biology",0,0,34838,478,0,0
1983,32667861,"jennings, s",0,0,"United Kingdom","Biology",0,0,34838,478,0,0
1984,32667861,"jennings, s",0,0,"Denmark","Biology",0,0,34838,478,0,0
1984,32667861,"jennings, s",0,0,"United Kingdom","Biology",0,0,34838,478,0,0
1985,32667861,"jennings, s",0,0,"Denmark","Biology",0,0,34838,478,0,0
1985,32667861,"jennings, s",0,0,"United Kingdom","Biology",0,0,34838,478,0,0
1986,32667861,"jennings, s",0,0,"Denmark","Biology",0,0,34838,478,0,0
1986,32667861,"jennings, s",0,0,"United Kingdom","Biology",0,0,34838,478,0,0
1987,32667861,"jennings, s",0,0,"Denmark","Biology",0,0,34838,478,0,0
1987,32667861,"jennings, s",0,0,"United Kingdom","Biology",0,0,34838,478,0,0
1988,32667861,"jennings, s",0,0,"Denmark","Biology",0,0,34838,478,0,0
1988,32667861,"jennings, s",0,0,"United Kingdom","Biology",0,0,34838,478,0,0
1989,32667861,"jennings, s",0,0,"Denmark","Biology",0,0,34838,478,0,0
1989,32667861,"jennings, s",0,0,"United Kingdom","Biology",0,0,34838,478,0,0
1990,32667861,"jennings, s",0,0,"Denmark","Biology",0,0,34838,478,0,0
1990,32667861,"jennings, s",0,0,"United Kingdom","Biology",0,0,34838,478,0,0
1991,32667861,"jennings, s",4,3,"Denmark","Biology",3,4,34838,478,0,0.008
1991,32667861,"jennings, s",4,3,"United Kingdom","Biology",6,8,34838,478,0,0.017
1992,32667861,"jennings, s",2,11,"Denmark","Biology",17,10,34838,478,0,0.021
1992,32667861,"jennings, s",2,11,"United Kingdom","Biology",28,12,34838,478,0.001,0.025
1993,32667861,"jennings, s",0,2,"Denmark","Biology",30,12,34838,478,0.001,0.025
1993,32667861,"jennings, s",0,2,"United Kingdom","Biology",32,12,34838,478,0.001,0.025
1994,32667861,"jennings, s",1,5,"Denmark","Biology",37,13,34838,478,0.001,0.027
1994,32667861,"jennings, s",1,5,"United Kingdom","Biology",42,14,34838,478,0.001,0.029
1995,32667861,"jennings, s",3,9,"Denmark","Biology",51,17,34838,478,0.001,0.036
1995,32667861,"jennings, s",3,9,"United Kingdom","Biology",60,20,34838,478,0.002,0.042
1996,32667861,"jennings, s",5,13,"Denmark","Biology",73,25,34838,478,0.002,0.052
1996,32667861,"jennings, s",5,13,"United Kingdom","Biology",86,30,34838,478,0.002,0.063
1997,32667861,"jennings, s",2,21,"Denmark","Biology",107,32,34838,478,0.003,0.067
1997,32667861,"jennings, s",2,21,"United Kingdom","Biology",128,34,34838,478,0.004,0.071
1998,32667861,"jennings, s",6,65,"Denmark","Biology",193,40,34838,478,0.006,0.084
1998,32667861,"jennings, s",6,65,"United Kingdom","Biology",258,46,34838,478,0.007,0.096
1999,32667861,"jennings, s",5,86,"Denmark","Biology",344,51,34838,478,0.01,0.107
1999,32667861,"jennings, s",5,86,"United Kingdom","Biology",430,56,34838,478,0.012,0.117
2000,32667861,"jennings, s",4,157,"Denmark","Biology",587,60,34838,478,0.017,0.126
2000,32667861,"jennings, s",4,157,"United Kingdom","Biology",744,64,34838,478,0.021,0.134
2001,32667861,"jennings, s",4,146,"Denmark","Biology",890,68,34838,478,0.026,0.142
2001,32667861,"jennings, s",4,146,"United Kingdom","Biology",1036,72,34838,478,0.03,0.151
2002,32667861,"jennings, s",12,200,"Denmark","Biology",1236,84,34838,478,0.035,0.176
2002,32667861,"jennings, s",12,200,"United Kingdom","Biology",1436,96,34838,478,0.041,0.201
2003,32667861,"jennings, s",5,221,"Denmark","Biology",1657,101,34838,478,0.048,0.211
2003,32667861,"jennings, s",5,221,"United Kingdom","Biology",1878,106,34838,478,0.054,0.222
2004,32667861,"jennings, s",6,257,"Denmark","Biology",2135,112,34838,478,0.061,0.234
2004,32667861,"jennings, s",6,257,"United Kingdom","Biology",2392,118,34838,478,0.069,0.247
2005,32667861,"jennings, s",13,450,"Denmark","Biology",2842,131,34838,478,0.082,0.274
2005,32667861,"jennings, s",13,450,"United Kingdom","Biology",3292,144,34838,478,0.094,0.301
2006,32667861,"jennings, s",10,348,"Denmark","Biology",3640,154,34838,478,0.104,0.322
2006,32667861,"jennings, s",10,348,"United Kingdom","Biology",3988,164,34838,478,0.114,0.343
2007,32667861,"jennings, s",15,423,"Denmark","Biology",4411,179,34838,478,0.127,0.374
