yr,cluster_id,full_name,country,field,indicator,value
1994,3454001,"besenbacher, f",Denmark,Physics,cum_cit,1766
1995,3454001,"besenbacher, f",Denmark,Physics,cum_cit,2094
1996,3454001,"besenbacher, f",Denmark,Physics,cum_cit,2489
1997,3454001,"besenbacher, f",Denmark,Physics,cum_cit,2915
1998,3454001,"besenbacher, f",Denmark,Physics,cum_cit,3368
1999,3454001,"besenbacher, f",Denmark,Physics,cum_cit,3847
2000,3454001,"besenbacher, f",Denmark,Physics,cum_cit,4323
2001,3454001,"besenbacher, f",Denmark,Physics,cum_cit,4883
2002,3454001,"besenbacher, f",Denmark,Physics,cum_cit,5450
2003,3454001,"besenbacher, f",Denmark,Physics,cum_cit,6114
2004,3454001,"besenbacher, f",Denmark,Physics,cum_cit,6815
2005,3454001,"besenbacher, f",Denmark,Physics,cum_cit,7638
2006,3454001,"besenbacher, f",Denmark,Physics,cum_cit,8489
2007,3454001,"besenbacher, f",Denmark,Physics,cum_cit,9596
2008,3454001,"besenbacher, f",Denmark,Physics,cum_cit,10970
2009,3454001,"besenbacher, f",Denmark,Physics,cum_cit,12710
2010,3454001,"besenbacher, f",Denmark,Physics,cum_cit,14807
2011,3454001,"besenbacher, f",Denmark,Physics,cum_cit,17074
2012,3454001,"besenbacher, f",Denmark,Physics,cum_cit,19713
2013,3454001,"besenbacher, f",Denmark,Physics,cum_cit,22689
2014,3454001,"besenbacher, f",Denmark,Physics,cum_cit,25922
2015,3454001,"besenbacher, f",Denmark,Physics,cum_cit,29082
2016,3454001,"besenbacher, f",Denmark,Physics,cum_cit,32458
2017,3454001,"besenbacher, f",Denmark,Physics,cum_cit,35710
2018,3454001,"besenbacher, f",Denmark,Physics,cum_cit,39058
2019,3454001,"besenbacher, f",Denmark,Physics,cum_cit,42551
1980,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,0
1981,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,0
1982,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,2
1983,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,15
1984,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,29
1985,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,50
1986,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,86
1987,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,105
1988,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,132
1989,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,159
1990,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,190
1991,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,228
1992,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,265
1993,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,293
1994,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,345
1995,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,419
1996,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,466
1997,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,536
1998,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,608
1999,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,735
2000,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,884
2001,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,1021
2002,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,1131
